Class	Active_concepts	Boosted
Job Automation	Additive Manufacturing	0
Job Automation	Adult Skills	0
Job Automation	Advanced Manufacturing	1
Job Automation	Analytical Skills	1
Job Automation	Artificial Intelligence	1
Job Automation	Artificial Intelligence Systems	0
Job Automation	Artificial Intelligence Technologies	1
Job Automation	Automated System	0
Job Automation	Automatic Adjustment	0
Job Automation	Automatic Data Processing	1
Job Automation	Automatic Data Processing Machines	0
Job Automation	Automatic Processing	0
Job Automation	Automatic Transmission	0
Job Automation	Automatic Vehicle	0
Job Automation	Automation Procedures	1
Job Automation	Big Data	0
Job Automation	Biobased Economy	0
Job Automation	Bio-based Materials	0
Job Automation	Cloud Computing	0
Job Automation	Company’s Workforce	0
Job Automation	Complex Problem Solving	1
Job Automation	Computer Technology	1
Job Automation	Declining Labour Share	0
Job Automation	Digital Economy	0
Job Automation	Digital Revolution	1
Job Automation	Digital Risk Management	0
Job Automation	Digital Security Risk Management	0
Job Automation	Digital Skills	1
Job Automation	Digital Technologies	1
Job Automation	Displaced Workers	1
Job Automation	Driverless Vehicles	0
Job Automation	Electronic Commerce	0
Job Automation	Emerging Technologies	1
Job Automation	Engineering Bottlenecks	0
Job Automation	Foresight Process	0
Job Automation	Fourth Industrial Revolution	1
Job Automation	Full Automation	1
Job Automation	High Tech Jobs	1
Job Automation	Human Drivers	0
Job Automation	ICT Sector	0
Job Automation	ICT Specialists	0
Job Automation	Industrial Biotechnology	0
Job Automation	Industrial Robots	1
Job Automation	Information And Communication Technologies Firms	0
Job Automation	Information And Communication Technologies Intensity	0
Job Automation	Job Automation	1
Job Automation	Job Losses	1
Job Automation	Job Polarisation	0
Job Automation	Job Tasks	1
Job Automation	Labour Intensive Manufacturing	0
Job Automation	Labour Intensive Manufacturing Industries	0
Job Automation	Labour Intensive Manufacturing Sectors	0
Job Automation	Labour Share	0
Job Automation	Machine Learning Algorithms	1
Job Automation	Manufacturing Innovation	1
Job Automation	Manufacturing Research	0
Job Automation	Metabolic Engineering	0
Job Automation	Non-routine Tasks	0
Job Automation	Premature Deindustrialization	0
Job Automation	Production Technologies	0
Job Automation	Road Freight Industry	0
Job Automation	Road Freight Operators	0
Job Automation	Routine Tasks	0
Job Automation	Shift Share Analysis	0
Job Automation	Skill Biased Technological Change	0
Job Automation	Social Intelligence	0
Job Automation	Social Skills	0
Job Automation	Task Sharing	1
Job Automation	Task Structure	1
Job Automation	Technological Change	1
Job Automation	Technological Unemployment	1
Job Automation	Technology Assessment	0
Job Automation	Technology Diffusion	1
Job Automation	Truck Drivers	0
New forms of work	Advanced Information And Communication Technology	0
New forms of work	Big Data	1
New forms of work	Cloud Computing	1
New forms of work	Data Driven Innovation	1
New forms of work	Digital Economy	1
New forms of work	Digital Innovation	1
New forms of work	Digital Technologies	1
New forms of work	Environmental Patents	0
New forms of work	Generic Information And Communication Technology Skills	0
New forms of work	Gig Economy	0
New forms of work	Green Economy	1
New forms of work	Green Jobs	1
New forms of work	Green Occupations	1
New forms of work	Green Skills	1
New forms of work	Green Skills Development	0
New forms of work	Information And Communication Technologies Adoption	0
New forms of work	Information And Communication Technologies Firms	0
New forms of work	Information And Communication Technologies Sector	1
New forms of work	Job Skill Requirements	1
New forms of work	Labour Market Implications	1
New forms of work	Market Platform	0
New forms of work	National Digital Strategy	1
New forms of work	New Economic Model	1
New forms of work	Non-standard Work	1
New forms of work	Part-time Work	1
New forms of work	Renewable Energy	1
New forms of work	Renewable Energy Sector	1
New forms of work	Science, Technology And Innovation Policy	0
New forms of work	Smart Networks	0
New forms of work	Special Employment Programmes	0
New forms of work	Structural Adjustment Pressures	0
Job Quality	Assessing Job Quality	0
Job Quality	Benign Effect	0
Job Quality	Earnings Inequality	0
Job Quality	Earnings Mobility	0
Job Quality	Earnings Quality	0
Job Quality	Earnings Trajectories	0
Job Quality	Employee Mobility	0
Job Quality	Enhancing Job Quality	0
Job Quality	Equalising Effect	0
Job Quality	Extreme Low Pay	0
Job Quality	Factory Workers	0
Job Quality	Health Shocks	0
Job Quality	Inequality Aversion	0
Job Quality	Informal Jobs	0
Job Quality	Informal Workers	0
Job Quality	Job Demands	0
Job Quality	Job Insecurity	0
Job Quality	Job Quality	0
Job Quality	Job Quality Framework	0
