Class	Pub_doi	Pub_title	Pub_concept	Class_short
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Information And Communication Technologies Specialists	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Digital Transformation	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Information And Communication Technologies Goods	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	ISIC Revision	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Information And Communication Technologies Equipment	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Information And Communication Technologies Services	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Online Sales	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Methodological Annex	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Information And Communication Technologies Occupations	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Information And Communication Technologies Intensities	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Column Header	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Bottom Quartile	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Country Sector Pair	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Gross Fixed Capital Formation	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Top Quartile	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Information And Communication Technologies Assets	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	NACE Revision	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Sectoral Classification	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Information And Communication Technologies Usage	Job Automation
Job Automation	10.1787/f404736a-en	OECD Science, Technology and Industry Working Papers - A taxonomy of digital intensive sectors	Country Sector Level	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	LATIN AMERICA	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Social Impact Bonds	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	LAC Region	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	LAC Countries	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Fourth Industrial Revolution	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Aggressive Tax Planning	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Effective Public Investment	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Productive Development Policies	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Sub-national Governments	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	General Government Final Consumption Expenditure	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Sustainable Fiscal Framework	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Fiscal Rules	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Value Added Tax Revenue	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Corporate Income Tax Revenues	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Latin America	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Total Fiscal Revenue	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Production Revolution	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Base Erosion And Profit Shifting	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Good Quality Jobs	Job Automation
Job Automation	10.1787/leo-2018-9-en	Latin American Economic Outlook 2018 - Institutions to embrace a future of better jobs and greater well - being in Latin America and the Caribbean	Not In Employment, Education Or Training	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Digital Economy	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Transborder Data Flow	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Cross-border Data Flows	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	E-commerce Platforms	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	General Data Protection Regulation	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Data Flows	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Critical Information Infrastructure	Job Automation
